file,trials,sources,depth_planes,blank_trials,single_source_trials,ensemble_trials,excluded_blank_nonfinite_demixed,excluded_blank_nonfinite_raw,pscs_demixed_tokens,pscs_demixed_eligible_ensembles,pscs_demixed_mean_shrinkage,pscs_tokens,pscs_eligible_ensembles,pscs_mean_shrinkage
12142022_cell1_map_EtoE_A_cmFormat.mat,18720,345,5,0,12420,6300,0,0,1035,6300,0.3170272073822332,1035,6300,0.19360445533780823
12142022_cell2_map_EtoE_A_cmFormat.mat,18781,512,5,1,12800,5980,1,0,1536,5980,0.3176826173641796,1536,5980,0.49420919917419165
12142022_cell3_map_EtoE_A_cmFormat.mat,18454,439,5,1,11853,6600,1,0,1317,6600,0.3020749735369879,1317,6600,0.08991133895855348
12142022_cell4_map_EtoE_A_cmFormat.mat,24624,454,5,0,16344,8280,0,0,1362,8280,0.4443298120538839,1362,8280,0.5959548361894259
12142022_cell7_map_EtoE_A_cmFormat.mat,16941,603,5,1,12060,4880,1,0,1809,4880,0.7870023329546946,1809,4880,0.7358213479192139
12162022_cell1_map_EtoE_A_cmFormat.mat,16230,214,4,0,9630,6600,0,0,642,6600,0.6924618794406739,642,6600,0.44525673535350335
12192022_cell3_map_EtoE_A_cmFormat.mat,17205,454,4,1,10442,6762,1,0,1362,6762,0.17819383173739253,1362,6762,0.5946223242089288
12192022_cell5_map_EtoE_A_cmFormat.mat,36705,489,4,0,22005,14700,0,0,1467,14700,0.40503408837660615,1467,14700,0.44524242581335544
12192022_cell6_map_EtoE_A_cmFormat.mat,19549,687,4,1,10992,8556,1,0,2061,8556,0.4604385753991096,2061,8556,0.22284380776509516
12192022_cell8_map_EtoE_A_cmFormat.mat,16845,527,4,1,11067,5777,1,0,1581,5777,0.8869144577113266,1581,5777,0.821483830875525
