file,outcome,eligible_trials,mse_gain_source_vs_zero,mse_gain_source_vs_anonymous,rho_gain_source_vs_anonymous,integrated_error_gain_source_vs_anonymous,peak_error_gain_source_vs_anonymous
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs,6300,2.6138347349634833e-06,1.391685976077141e-06,0.008152280342608753,0.0034052067013558163,0.00014332453851338713
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,6300,-5.8655353641890425e-06,8.738808234157242e-07,0.002018877526862217,0.0022735344766037723,0.00017613147246707504
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs,5980,0.00021606169287839678,0.00015678158866000113,0.026151567073081968,0.06829731494914519,0.004065051309387954
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs_demixed,5980,-2.9561971302746448e-05,3.520510877617808e-06,0.0042917345074941155,0.006164510885024769,0.00047331198371371126
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs,6600,2.031569822193076e-06,8.834339225760976e-07,-0.0035827434166849524,0.0009421502648693538,1.3991195262343151e-06
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,6600,-5.1074701390510524e-05,1.8161603416497476e-06,0.0014408759971348602,0.002909662375571526,0.00026564089567656036
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs,8280,7.061382311006035e-05,5.66198308439262e-05,-0.020661492608461163,0.03883598585878148,0.0026299332293869167
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs_demixed,8280,5.299923237833438e-06,4.195691945666575e-06,0.0016269335722911458,0.007037877479623516,0.0007180377335292027
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs,4880,0.00013304663248195974,0.00012569547057395206,-0.04518208483526228,0.05882617645773021,0.0015525301500001255
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs_demixed,4880,1.0678473638750313e-05,1.0052153831798024e-05,0.014527379138098144,0.020609375327402583,0.0015955564037192596
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs,6600,3.236412677842226e-05,2.3628666566567406e-05,0.020751155676016268,0.02212783665406366,0.0016349506813746373
12162022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,6600,-8.180313933812415e-06,7.562240953837861e-06,0.007484288862487696,0.014578349590578119,0.0013206736750110087
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs,6762,0.00010015330923042153,8.663473833966992e-05,-0.036900392793999155,0.04248794530852517,0.0017343761101591953
12192022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,6762,-5.612762949319571e-06,6.824540872718609e-07,0.0005584741743734767,0.0014067484934127475,0.00011359043425561522
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs,14700,2.997856412178075e-05,2.3540177148307225e-05,-0.01301732084354961,0.01428677407260564,0.0011189384822206476
12192022_cell5_map_EtoE_A_cmFormat.mat,pscs_demixed,14700,1.823620163744235e-06,4.37369579414634e-06,0.004118630717738534,0.008484328539943126,0.0007264421665273818
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs,8556,2.041132900584605e-05,1.4490113173356725e-05,0.0061244795123997385,0.00700891294060564,0.0008136739745138928
12192022_cell6_map_EtoE_A_cmFormat.mat,pscs_demixed,8556,-4.650235459776616e-06,1.7495011869143605e-05,0.006397571283511897,0.017801636096159538,0.0014340138634251873
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs,5777,0.003761333040585888,0.0025983070724704227,-0.006825229136158778,0.4506615371003855,0.019672614224518756
12192022_cell8_map_EtoE_A_cmFormat.mat,pscs_demixed,5777,0.0005103824185074488,0.00016138037044255264,-0.0027348118287355483,0.10525605987969186,0.01054929843199164
