outcome,metric,omitted_file,leave_one_out_mean,positive
pscs_demixed,mse_gain_source_vs_anonymous,12142022_cell1_map_EtoE_A_cmFormat.mat,2.3453143349298273e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12142022_cell2_map_EtoE_A_cmFormat.mat,2.315907334327582e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12142022_cell3_map_EtoE_A_cmFormat.mat,2.334844562505005e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12142022_cell4_map_EtoE_A_cmFormat.mat,2.308405322460373e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12142022_cell7_map_EtoE_A_cmFormat.mat,2.2433335237255795e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12162022_cell1_map_EtoE_A_cmFormat.mat,2.2709992223695814e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12192022_cell3_map_EtoE_A_cmFormat.mat,2.3474412986647592e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12192022_cell5_map_EtoE_A_cmFormat.mat,2.3064275019217094e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12192022_cell6_map_EtoE_A_cmFormat.mat,2.1606351010884065e-05,True
pscs_demixed,mse_gain_source_vs_anonymous,12192022_cell8_map_EtoE_A_cmFormat.mat,5.619088947171949e-06,True
pscs_demixed,rho_gain_source_vs_anonymous,12142022_cell1_map_EtoE_A_cmFormat.mat,0.0041901196027104804,True
pscs_demixed,rho_gain_source_vs_anonymous,12142022_cell2_map_EtoE_A_cmFormat.mat,0.003937579938195825,True
pscs_demixed,rho_gain_source_vs_anonymous,12142022_cell3_map_EtoE_A_cmFormat.mat,0.004254341994902409,True
pscs_demixed,rho_gain_source_vs_anonymous,12142022_cell4_map_EtoE_A_cmFormat.mat,0.004233668930996155,True
pscs_demixed,rho_gain_source_vs_anonymous,12142022_cell7_map_EtoE_A_cmFormat.mat,0.0028002860903509324,True
pscs_demixed,rho_gain_source_vs_anonymous,12162022_cell1_map_EtoE_A_cmFormat.mat,0.003582851676529871,True
pscs_demixed,rho_gain_source_vs_anonymous,12192022_cell3_map_EtoE_A_cmFormat.mat,0.004352386641875896,True
pscs_demixed,rho_gain_source_vs_anonymous,12192022_cell5_map_EtoE_A_cmFormat.mat,0.003956813692613112,True
pscs_demixed,rho_gain_source_vs_anonymous,12192022_cell6_map_EtoE_A_cmFormat.mat,0.0037035980741938488,True
pscs_demixed,rho_gain_source_vs_anonymous,12192022_cell8_map_EtoE_A_cmFormat.mat,0.0047183073088880095,True
pscs,mse_gain_source_vs_anonymous,12142022_cell1_map_EtoE_A_cmFormat.mat,0.0003429534546331977,True
pscs,mse_gain_source_vs_anonymous,12142022_cell2_map_EtoE_A_cmFormat.mat,0.00032568790989053945,True
pscs,mse_gain_source_vs_anonymous,12142022_cell3_map_EtoE_A_cmFormat.mat,0.00034300992708358673,True
pscs,mse_gain_source_vs_anonymous,12142022_cell4_map_EtoE_A_cmFormat.mat,0.0003368169940923256,True
pscs,mse_gain_source_vs_anonymous,12142022_cell7_map_EtoE_A_cmFormat.mat,0.0003291419230112116,True
pscs,mse_gain_source_vs_anonymous,12162022_cell1_map_EtoE_A_cmFormat.mat,0.0003404826790120321,True
pscs,mse_gain_source_vs_anonymous,12192022_cell3_map_EtoE_A_cmFormat.mat,0.0003334820043705763,True
pscs,mse_gain_source_vs_anonymous,12192022_cell5_map_EtoE_A_cmFormat.mat,0.0003404925111696166,True
pscs,mse_gain_source_vs_anonymous,12192022_cell6_map_EtoE_A_cmFormat.mat,0.00034149807383349994,True
pscs,mse_gain_source_vs_anonymous,12192022_cell8_map_EtoE_A_cmFormat.mat,5.440730057827041e-05,True
pscs,rho_gain_source_vs_anonymous,12142022_cell1_map_EtoE_A_cmFormat.mat,-0.008126895708068663,False
pscs,rho_gain_source_vs_anonymous,12142022_cell2_map_EtoE_A_cmFormat.mat,-0.01012681645589902,False
pscs,rho_gain_source_vs_anonymous,12142022_cell3_map_EtoE_A_cmFormat.mat,-0.006823004179258251,False
pscs,rho_gain_source_vs_anonymous,12142022_cell4_map_EtoE_A_cmFormat.mat,-0.004925365380172006,False
pscs,rho_gain_source_vs_anonymous,12142022_cell7_map_EtoE_A_cmFormat.mat,-0.002200855132749659,False
pscs,rho_gain_source_vs_anonymous,12162022_cell1_map_EtoE_A_cmFormat.mat,-0.009526770745113941,False
pscs,rho_gain_source_vs_anonymous,12192022_cell3_map_EtoE_A_cmFormat.mat,-0.003121043137334451,False
pscs,rho_gain_source_vs_anonymous,12192022_cell5_map_EtoE_A_cmFormat.mat,-0.005774717798495511,False
pscs,rho_gain_source_vs_anonymous,12192022_cell6_map_EtoE_A_cmFormat.mat,-0.007901584504712105,False
pscs,rho_gain_source_vs_anonymous,12192022_cell8_map_EtoE_A_cmFormat.mat,-0.006462727988205604,False
