file,eligible_ablation_trials,mean_replacement_mse_cost
12142022_cell1_map_EtoE_A_cmFormat.mat,6300,1.2066453024535674e-07
12142022_cell2_map_EtoE_A_cmFormat.mat,5980,6.117406105617911e-07
12142022_cell3_map_EtoE_A_cmFormat.mat,6600,3.4294928035419034e-07
12142022_cell4_map_EtoE_A_cmFormat.mat,8280,6.630569926996101e-07
12142022_cell7_map_EtoE_A_cmFormat.mat,4880,2.1387374651369007e-06
12162022_cell1_map_EtoE_A_cmFormat.mat,6600,1.4923597405813267e-06
12192022_cell3_map_EtoE_A_cmFormat.mat,6762,9.363331863529238e-08
12192022_cell5_map_EtoE_A_cmFormat.mat,14700,7.596893736398024e-07
12192022_cell6_map_EtoE_A_cmFormat.mat,8556,3.0522696563135293e-06
12192022_cell8_map_EtoE_A_cmFormat.mat,5777,3.639129589595893e-05
