file,date_proxy,outcome,comparison,mse_gain,rho_gain,integrated_error_gain,peak_error_gain
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_vs_power,7.988647203582094e-07,0.0,0.0021614922873888776,0.0002158654475082145
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency_vs_power,8.381945224336488e-07,0.0003134155435734476,0.0019584169848303745,0.0002686501731790367
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_power,8.738808234157261e-07,0.002018877526862195,0.002273534476603778,0.00017613147246707365
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_gain,7.50161030575167e-08,0.002018877526862195,0.00011204218921490039,-3.973397504114084e-05
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_gain_latency,3.568630098207731e-08,0.0017054619832887474,0.0003151174917734034,-9.251870071196305e-05
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_vs_power,1.1335245763048163e-06,2.7755575615628914e-17,0.0026884535089155004,0.00021951554386137433
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency_vs_power,1.3020721434422571e-06,0.0076685079405793555,0.002783817503649963,0.00015209022738986097
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,full_vs_power,1.3916859760771407e-06,0.008152280342608759,0.0034052067013558285,0.00014332453851338862
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,full_vs_gain,2.581613997723244e-07,0.008152280342608731,0.0007167531924403281,-7.61910053479857e-05
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,full_vs_gain_latency,8.961383263488354e-08,0.0004837724020294032,0.0006213891977058655,-8.765688876472347e-06
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_vs_power,3.167071935677777e-06,0.0,0.006219849969912983,0.0006161846253818354
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency_vs_power,3.2103608614149394e-06,0.0008465900253515901,0.005537055319666528,0.0006958775329727468
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_power,3.5205108776178114e-06,0.004291734507494094,0.006164510885024732,0.0004733119837137135
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_gain,3.534389419400342e-07,0.004291734507494094,-5.533908488825068e-05,-0.0001428726416681219
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_gain_latency,3.10150016202872e-07,0.0034451444821425037,0.0006274555653582037,-0.0002225655492590333
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_vs_power,0.00011648344433434836,-5.381186685027295e-05,0.06602838517147414,0.003058848772503713
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency_vs_power,0.00011835190492634164,0.0072349886613722325,0.06517614551911782,0.0031620849152106667
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,full_vs_power,0.00015678158866000116,0.02615156707308197,0.06829731494914518,0.004065051309387953
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,full_vs_gain,4.02981443256528e-05,0.026205378939932245,0.0022689297776710415,0.0010062025368842396
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,full_vs_gain_latency,3.8429683733659514e-05,0.01891657841170974,0.003121169430027354,0.0009029663941772861
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_vs_power,1.7128725001341123e-06,0.0,0.0028716583065148127,0.00032645134382845026
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency_vs_power,1.8094136332138307e-06,0.0006824241151839883,0.0021581401049489968,0.00039660409224246546
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_power,1.8161603416497315e-06,0.0014408759971348273,0.002909662375571498,0.0002656408956765617
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_gain,1.0328784151561921e-07,0.0014408759971348273,3.8004069056685186e-05,-6.0810448151888546e-05
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_vs_gain_latency,6.746708435900837e-09,0.000758451881950839,0.0007515222706225011,-0.00013096319656590374
