file,date_proxy,outcome,model,eligible_group_trials,mse,rho,integrated_error,peak_error
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,power_only,6300,1.4839518752648683e-05,0.41143982788004474,0.08625785091333445,0.006439206713379454
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_only,6300,1.4040654032290473e-05,0.41143982788004474,0.08409635862594557,0.006223341265871239
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency,6300,1.4001324230215034e-05,0.4117532434236182,0.08429943392850407,0.006170556540200417
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_waveform,6300,1.3965637929232957e-05,0.41345870540690693,0.08398431643673067,0.00626307524091238
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,power_only,6300,1.9688607888926284e-05,0.1596914703599522,0.07858536918946066,0.009388910529652753
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_only,6300,1.8555083312621468e-05,0.15969147035995224,0.07589691568054516,0.009169394985791378
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency,6300,1.8386535745484027e-05,0.16735997830053156,0.0758015516858107,0.009236820302262892
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,pscs,full_waveform,6300,1.8296921912849144e-05,0.16784375070256097,0.07518016248810483,0.009245585991139364
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,power_only,5980,5.8219770937564295e-05,0.35750998945422635,0.16673686263316953,0.012609775105794424
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_only,5980,5.505269900188652e-05,0.35750998945422635,0.16051701266325655,0.011993590480412588
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency,5980,5.5009410076149356e-05,0.35835657947957794,0.161199807313503,0.011913897572821677
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_waveform,5980,5.4699260059946484e-05,0.36180172396172045,0.1605723517481448,0.01213646312208071
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,power_only,5980,0.00043993781632423493,0.2531728690591654,0.3135403819712701,0.029565873933168476
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_only,5980,0.0003234543719898866,0.25311905719231514,0.24751199679979596,0.026507025160664763
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency,5980,0.0003215859113978933,0.26040785772053765,0.24836423645215228,0.02640378901795781
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,pscs,full_waveform,5980,0.0002831562276642338,0.2793244361322474,0.24524306702212492,0.025500822623780523
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,power_only,6600,8.677775858084168e-05,0.4375224789796054,0.2185562287178658,0.01611386928586798
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_only,6600,8.506488608070757e-05,0.4375224789796054,0.215684570411351,0.01578741794203953
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency,6600,8.496834494762785e-05,0.4382049030947894,0.21639808861291682,0.015717265193625516
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_waveform,6600,8.496159823919195e-05,0.4389633549767402,0.21564656634229432,0.01584822839019142
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs,power_only,6600,0.0001093215732060632,0.09969468414866378,0.22909451840443443,0.017736049440715426
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_only,6600,0.0001087153484432298,0.0996946841486638,0.22868550064170204,0.017653736043660755
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency,6600,0.00010861365036954928,0.10101730989692033,0.2285720523139132,0.017658168927632
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,pscs,full_waveform,6600,0.0001084381392834871,0.09611194073197883,0.2281523681395651,0.01773465032118919
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,power_only,8280,2.6174524601264407e-05,0.38644014394258736,0.09046108805689226,0.0085062972520518
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_only,8280,2.2427929765987966e-05,0.38644014394258736,0.08309925341342686,0.007830847494421754
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency,8280,2.2369781797682357e-05,0.3867699484735475,0.08357965142176095,0.007771777089189808
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_waveform,8280,2.197883265559783e-05,0.38806707751487846,0.08342321057726876,0.007788259518522597
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs,power_only,8280,0.0001422469067798493,0.22210003392812575,0.17940793010774436,0.018223141425152068
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_only,8280,9.650903769551607e-05,0.2221487951409635,0.14215750604219446,0.016178645894393752
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency,8280,9.201280863469085e-05,0.23746530612149622,0.1421882032575801,0.01598897249701274
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,pscs,full_waveform,8280,8.562707593592309e-05,0.20143854131966457,0.14057194424896285,0.01559320819576515
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,power_only,4880,2.5963532924297735e-05,0.3816354030211907,0.08984634582639436,0.007058861488613872
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_only,4880,1.7261165040765752e-05,0.3816354030211907,0.07003251466672272,0.00539975729931347
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,gain_latency,4880,1.6322826590124006e-05,0.389237157240396,0.07112792936962106,0.0052906003340290435
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs_demixed,full_waveform,4880,1.5911379092499712e-05,0.39616278215928885,0.06923697049899179,0.005463305084894611
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs,power_only,4880,0.00022969114616237717,0.18769261709670404,0.2300216722377748,0.015308342020541215
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_only,4880,0.0001247926505371916,0.18744189292912058,0.17520000027512792,0.012192183543628226
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs,gain_latency,4880,0.0001231802245808031,0.19200645778390216,0.17545522220425314,0.012166386880509668
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,pscs,full_waveform,4880,0.00010399567558842508,0.14251053226144175,0.17119549578004456,0.013755811870541089
12162022_cell1_map_EtoE_A_cmFormat.mat,12162022,pscs_demixed,power_only,6600,4.1888634309868854e-05,0.41619391609124123,0.14435077738173424,0.01135810370409679
