file,date_proxy,postsynaptic_cell_label,embedded_mouse_id,verified_slice_id,verified_animal_id,hierarchy_status
12142022_cell1_map_EtoE_A_cmFormat.mat,12142022,cell1,cell1_emx_map,,,awaiting_source-author clarification
12142022_cell2_map_EtoE_A_cmFormat.mat,12142022,cell2,cell2_emx_map,,,awaiting_source-author clarification
12142022_cell3_map_EtoE_A_cmFormat.mat,12142022,cell3,cell3_emx_map,,,awaiting_source-author clarification
12142022_cell4_map_EtoE_A_cmFormat.mat,12142022,cell4,cell4_emx_map,,,awaiting_source-author clarification
12142022_cell7_map_EtoE_A_cmFormat.mat,12142022,cell7,cell7_emx_map,,,awaiting_source-author clarification
12162022_cell1_map_EtoE_A_cmFormat.mat,12162022,cell1,cell1_emx_map,,,awaiting_source-author clarification
12192022_cell3_map_EtoE_A_cmFormat.mat,12192022,cell3,cell3_emx_map,,,awaiting_source-author clarification
12192022_cell5_map_EtoE_A_cmFormat.mat,12192022,cell5,cell5_emx_map,,,awaiting_source-author clarification
12192022_cell6_map_EtoE_A_cmFormat.mat,12192022,cell6,cell6_emx_map,,,awaiting_source-author clarification
12192022_cell8_map_EtoE_A_cmFormat.mat,12192022,cell8,cell8_emx_map,,,awaiting_source-author clarification
