file,outcome,eligible_trials,mse_gain_source_vs_zero,mse_gain_source_vs_anonymous,rho_gain_source_vs_anonymous,integrated_error_gain_source_vs_anonymous,peak_error_gain_source_vs_anonymous
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs,2236,0.0011834703774232377,0.0006721844539211838,0.01374967779100108,0.22890258783945133,0.009533798467352918
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs_demixed,2236,0.0012229482770140577,0.0007332359243645544,0.0023118385939999513,0.3123280653994747,0.020935644628853712
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs,2544,0.000915435394558387,0.00027649379506845644,-0.004692470605568629,0.07282558311608898,0.002981417923229283
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,2544,0.001965282005523656,0.0004383728239182259,-0.0035461514221525976,0.20148670313021153,0.010709060675571645
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs,3900,0.00041196298956189806,0.0001865723948325226,-0.002230596256627022,0.10727460167317857,0.006158032302735448
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,3900,0.000547212113221269,0.000215435405058721,0.004246002301186897,0.16026814559166241,0.01004516299873596
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs,1800,0.00039606398287263223,0.00022388592614459716,-0.015317760378546371,0.08200685433572887,0.0037371496252152723
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,1800,0.0005009994009130326,0.00018487826714942829,-0.0050304464370367835,0.1132567628442306,0.007476311040306985
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,3180,0.0005274634246829811,0.0003166342928733561,-0.005546099266513038,0.14607961372071346,0.006041914914947813
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,3180,0.0007644710898557632,0.00030256393487546214,0.004912646553417192,0.22059809386373622,0.010186228220400915
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs,1141,0.0010221639118089569,0.0002984115368964977,-0.0003780862290556611,0.11493943278673356,0.0053639223770621264
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,1141,0.0019165418183608137,0.0004463927418568669,0.0044979148944986076,0.22466682365584006,0.011360772481680707
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,936,2.2097546499150436e-05,4.957114934684188e-06,0.004022167007250265,0.004236860170942868,0.00018142085435294685
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,936,-4.337879020810132e-06,2.4176468836641863e-05,0.0028318610138617735,0.01896119790014408,0.0010922162228115663
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs,1500,0.00600014424922133,0.0033570687437105527,0.0014301697259601395,0.25216725105156373,0.013201141101571867
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs_demixed,1500,0.009665348754858305,0.003512681817250198,0.018413538804260214,0.7274426396717496,0.041872264778140475
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs,1980,0.0033312606912320815,0.0021860690497055566,0.00687739564605745,0.4890182262067139,0.022533833680499174
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,1980,0.004080063095094682,0.0021723323254827127,0.008522850839161102,0.7561064637144035,0.03903795749387769
