outcome,metric,omitted_file,leave_one_out_mean,positive
pscs_demixed,mse_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,0.000912104223053532,True
pscs_demixed,mse_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.000948962110609323,True
pscs_demixed,mse_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,0.0009768292879667611,True
pscs_demixed,mse_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,0.0009806489302054227,True
pscs_demixed,mse_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,0.0009659382217396685,True
pscs_demixed,mse_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,0.0009479596208669929,True
pscs_demixed,mse_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,0.001000736654994521,True
pscs_demixed,mse_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,0.0005646734864428265,True
pscs_demixed,mse_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,0.0007322171729137622,True
pscs_demixed,rho_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,0.004356027068399551,True
pscs_demixed,rho_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.005088275820418619,True
pscs_demixed,rho_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,0.004114256605001183,True
pscs_demixed,rho_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,0.0052738126972791425,True
pscs_demixed,rho_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,0.0040309260734723955,True
pscs_demixed,rho_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,0.004082767530837219,True
pscs_demixed,rho_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,0.004291024265916823,True
pscs_demixed,rho_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,0.002343314542117018,True
pscs_demixed,rho_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,0.003579650537754407,True
pscs,mse_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,0.0008562616067707779,True
pscs,mse_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.0009057229391273688,True
pscs,mse_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,0.0009169631141568605,True
pscs,mse_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,0.0009122989227428513,True
pscs,mse_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,0.0009007053769017563,True
pscs,mse_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,0.0009029832213988636,True
pscs,mse_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,0.0009396650241440904,True
pscs,mse_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,0.0005206510705471068,True
pscs,mse_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,0.0006670260322977314,True
pscs,rho_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,-0.0019794100446303585,False
pscs,rho_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.00032585850494085524,True
pscs,rho_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,1.81242113231544e-05,True
pscs,rho_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,0.001654019726563073,True
pscs,rho_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,0.00043256208755890636,True
pscs,rho_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,-0.00021343954212326574,False
pscs,rho_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,-0.0007634711966615065,False
pscs,rho_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,-0.0004394715365002408,False
pscs,rho_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,-0.0011203747765124047,False
