outcome,metric,omitted_file,leave_one_out_mean,positive
pscs_demixed,mse_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,0.0009008756491243161,True
pscs_demixed,mse_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.0009397333555185447,True
pscs_demixed,mse_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,0.0009607315064495415,True
pscs_demixed,mse_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,0.0009649453141511824,True
pscs_demixed,mse_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,0.0009505228303526787,True
pscs_demixed,mse_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,0.0009314070869674394,True
pscs_demixed,mse_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,0.0009845862747330874,True
pscs_demixed,mse_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,0.0005464567199618526,True
pscs_demixed,mse_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,0.0007201022515295951,True
pscs_demixed,rho_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,-0.0029690773761184737,False
pscs_demixed,rho_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.00032598908254619693,True
pscs_demixed,rho_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,-0.003087107903850704,False
pscs_demixed,rho_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,6.901298094543536e-05,True
pscs_demixed,rho_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,-0.003208413116001374,False
pscs_demixed,rho_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,-0.00295826648910676,False
pscs_demixed,rho_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,-0.002846931936005694,False
pscs_demixed,rho_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,-0.005128733429956055,False
pscs_demixed,rho_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,-0.0038450390614669216,False
pscs,mse_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,0.0006624511385760667,True
pscs,mse_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,0.0007963925298453864,True
pscs,mse_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,0.000708190559472075,True
pscs,mse_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,0.0007136631699392277,True
pscs,mse_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,0.000690143428657061,True
pscs,mse_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,0.0007295879987120802,True
pscs,mse_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,0.0007471410052923678,True
pscs,mse_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,0.00030084429926507435,True
pscs,mse_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,0.0004651883898466251,True
pscs,rho_gain_source_vs_anonymous,06022023_cell4_map_SSTtoE_A_cmFormat.mat,-0.07565450554563186,False
pscs,rho_gain_source_vs_anonymous,06072023_cell1_map_SSTtoE_A_cmFormat.mat,-0.05621871408533784,False
pscs,rho_gain_source_vs_anonymous,06072023_cell2_map_SSTtoE_A_cmFormat.mat,-0.06904457121448929,False
pscs,rho_gain_source_vs_anonymous,06072023_cell3_map_SSTtoE_A_cmFormat.mat,-0.06375342145072584,False
pscs,rho_gain_source_vs_anonymous,11302022_cell2_map_SSTtoE_A_cmFormat.mat,-0.07136985184620902,False
pscs,rho_gain_source_vs_anonymous,12012022_cell1_map_SSTtoE_A_cmFormat.mat,-0.0640708853730629,False
pscs,rho_gain_source_vs_anonymous,12012022_cell2_map_SSTtoE_A_cmFormat.mat,-0.06782764438135046,False
pscs,rho_gain_source_vs_anonymous,12012022_cell3_map_SSTtoE_B_cmFormat.mat,-0.07379095463081468,False
pscs,rho_gain_source_vs_anonymous,12072022_cell3_map_SSTtoE_A_cmFormat.mat,-0.07480724931945942,False
